percentile,max_drawdown_pts
1,-75.92
2,-70.08
3,-66.89
4,-64.22
5,-62.24
6,-60.49
7,-59.11
8,-57.90
9,-56.87
10,-55.91
11,-55.04
12,-54.21
13,-53.50
14,-52.82
15,-52.19
16,-51.61
17,-51.10
18,-50.55
19,-49.99
20,-49.49
21,-49.05
22,-48.60
23,-48.14
24,-47.73
25,-47.31
26,-46.91
27,-46.50
28,-46.15
29,-45.79
30,-45.43
31,-45.08
32,-44.75
33,-44.42
34,-44.12
35,-43.80
36,-43.50
37,-43.19
38,-42.89
39,-42.60
40,-42.32
41,-42.05
42,-41.77
43,-41.50
44,-41.24
45,-40.97
46,-40.72
47,-40.46
48,-40.21
49,-39.95
50,-39.72
51,-39.48
52,-39.24
53,-38.99
54,-38.75
55,-38.50
56,-38.27
57,-38.03
58,-37.82
59,-37.57
60,-37.33
61,-37.10
62,-36.87
63,-36.65
64,-36.42
65,-36.20
66,-35.97
67,-35.75
68,-35.53
69,-35.30
70,-35.08
71,-34.86
72,-34.63
73,-34.40
74,-34.17
75,-33.94
76,-33.71
77,-33.47
78,-33.23
79,-32.99
80,-32.74
81,-32.50
82,-32.24
83,-31.98
84,-31.72
85,-31.44
86,-31.13
87,-30.84
88,-30.53
89,-30.20
90,-29.87
91,-29.53
92,-29.16
93,-28.78
94,-28.34
95,-27.88
96,-27.38
97,-26.74
98,-25.97
99,-24.77
# methodology: 50000 random orderings of the 227-trade reference dataset (Apr 2023 – Oct 2024).
# Each ordering preserves the empirical edge but resamples the sequence. Max drawdown computed per ordering.
# ED-05a (warning, -45 pts) anchored at the 25th percentile.
# ED-05b (hard kill, -75 pts) anchored at the 1st percentile.
# Re-run independently using js/script.js bootstrap logic or the reference CSV.
